manuscript_id	detagged_id	standard_id	short_id
doi:10.1007/978-3-319-12024-9_9	doi:10.1007/978-3-319-12024-9_9	doi:10.1007/978-3-319-12024-9_9	Ut1RxNtm
doi:10.1016/j.future.2011.08.004	doi:10.1016/j.future.2011.08.004	doi:10.1016/j.future.2011.08.004	sRYUCzCq
doi:10.1109/eScience.2010.21	doi:10.1109/eScience.2010.21	doi:10.1109/escience.2010.21	14U5XT313
doi:10.1109/eScience.2018.00019	doi:10.1109/eScience.2018.00019	doi:10.1109/escience.2018.00019	B4ffHizQ
doi:10.1145/2457317.2457376	doi:10.1145/2457317.2457376	doi:10.1145/2457317.2457376	eV4QvWFF
doi:10.1186/s12859-014-0369-z	doi:10.1186/s12859-014-0369-z	doi:10.1186/s12859-014-0369-z	vGs0hZI
doi:10.1371/journal.pone.0213013	doi:10.1371/journal.pone.0213013	doi:10.1371/journal.pone.0213013	3FDNoHin
doi:10.17632/6wtpgr3kbj.1	doi:10.17632/6wtpgr3kbj.1	doi:10.17632/6wtpgr3kbj.1	1CrTaYKc2
doi:10.3233/SW-2012-0088	doi:10.3233/SW-2012-0088	doi:10.3233/sw-2012-0088	13RYarvnd
doi:10.5281/zenodo.10439	doi:10.5281/zenodo.10439	doi:10.5281/zenodo.10439	FJly0f6l
doi:10.5281/zenodo.1208477	doi:10.5281/zenodo.1208477	doi:10.5281/zenodo.1208477	YsYtVdV4
doi:10.5281/zenodo.12586	doi:10.5281/zenodo.12586	doi:10.5281/zenodo.12586	dijZpInF
doi:10.5281/zenodo.1465897	doi:10.5281/zenodo.1465897	doi:10.5281/zenodo.1465897	Ypeevn8I
doi:10.7490/f1000research.1114375.1	doi:10.7490/f1000research.1114375.1	doi:10.7490/f1000research.1114375.1	xhtkrFLT
